scenario_id,event_class,config,model,correct_diag,turns,n_tool_calls,n_calls_valid,n_calls_exec,pred,tools_used,final_reason,raw
IEEE14_SCN_000755,E2,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E2,"{""grid_query"": 1}",Observed telemetry shows a decrease in demand across multiple load buses with no switching events or generator outages.,"{""action"": ""final_answer"", ""event_class"": ""E2"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows a decrease in demand across multiple load buses with no switching events or generator outages.""}"
IEEE14_SCN_001001,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","The observed evidence explicitly states a transmission line is OPEN (line_1_2) with no changes in demand or generation, which directly corresponds to a Transmission-Line Outage (E3).","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence explicitly states a transmission line is OPEN (line_1_2) with no changes in demand or generation, which directly corresponds to a Transmission-Line Outage (E3).""}"
IEEE14_SCN_002945,E9,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E9,"{""run_power_flow"": 1}","Observed telemetry shows a transmission line outage (line_3_4) combined with widespread demand increases across multiple buses, confirming a compound event class E9.","{""action"": ""final_answer"", ""event_class"": ""E9"", ""confidence"": 0.99, ""tool"": ""run_power_flow"", ""reason"": ""Observed telemetry shows a transmission line outage (line_3_4) combined with widespread demand increases across multiple buses, confirming a compound event class E9.""}"
IEEE14_SCN_001338,E4,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E4,"{""grid_query"": 1}",Generator G2 is explicitly observed to be offline without any demand changes or branch switching.,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Generator G2 is explicitly observed to be offline without any demand changes or branch switching.""}"
IEEE14_SCN_001027,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""run_power_flow"": 1}","Telemetry shows line_2_5 is OPEN with no generator outages, demand changes, or renewable variations, identifying a transmission-line outage.","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""run_power_flow"", ""reason"": ""Telemetry shows line_2_5 is OPEN with no generator outages, demand changes, or renewable variations, identifying a transmission-line outage.""}"
IEEE14_SCN_002781,E9,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E9,"{""grid_query"": 1}",Compound event diagnosed because generator G2 went offline while renewable sources PV14 and WIND6 changed their output simultaneously.,"{""action"": ""final_answer"", ""event_class"": ""E9"", ""confidence"": 0.95, ""tool"": ""grid_query"", ""reason"": ""Compound event diagnosed because generator G2 went offline while renewable sources PV14 and WIND6 changed their output simultaneously.""}"
IEEE14_SCN_001803,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","Observed telemetry shows line_6_13 is OPEN with no changes in demand, generation, or renewable output, which matches the definition of a transmission-line outage.","{""action"": ""final_answer"", ""event_class"": ""E3 Transmission-Line Outage"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows line_6_13 is OPEN with no changes in demand, generation, or renewable output, which matches the definition of a transmission-line outage.""}"
IEEE14_SCN_000636,E2,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E2,"{""grid_query"": 1}","Observed telemetry shows a negative change in demand at load_bus_4 with no switching events, which precisely defines a Load Drop (E2).","{""action"": ""final_answer"", ""event_class"": ""E2"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows a negative change in demand at load_bus_4 with no switching events, which precisely defines a Load Drop (E2).""}"
IEEE14_SCN_001535,E5,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E5,"{""grid_query"": 1}","The telemetry shows a change in renewable generation (sgen_PV14) with no switching actions or demand changes, consistent with a renewable ramp event.","{""action"": ""final_answer"", ""event_class"": ""E5"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The telemetry shows a change in renewable generation (sgen_PV14) with no switching actions or demand changes, consistent with a renewable ramp event.""}"
IEEE14_SCN_001668,E5,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E5,"{""run_power_flow"": 1}",Telemetry confirms renewable elements sgen_PV14 and sgen_WIND6 changed output without any switching or demand changes.,"{""action"": ""final_answer"", ""event_class"": ""E5"", ""confidence"": 0.99, ""tool"": ""run_power_flow"", ""reason"": ""Telemetry confirms renewable elements sgen_PV14 and sgen_WIND6 changed output without any switching or demand changes.""}"
IEEE14_SCN_000512,E1,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E1,"{""grid_query"": 1}",Observed telemetry shows a positive demand increase at load_bus_5 (+0.63 MW) with no switching events or generator outages.,"{""action"": ""final_answer"", ""event_class"": ""E1"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows a positive demand increase at load_bus_5 (+0.63 MW) with no switching events or generator outages.""}"
IEEE14_SCN_002976,E9,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E9,"{""grid_query"": 1}","The scenario exhibits both a transmission-line outage (line_10_11 OPEN) and concurrent significant demand increases across multiple load buses, matching the E9 compound event classification.","{""action"": ""final_answer"", ""event_class"": ""E9"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The scenario exhibits both a transmission-line outage (line_10_11 OPEN) and concurrent significant demand increases across multiple load buses, matching the E9 compound event classification.""}"
IEEE14_SCN_001766,E5,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E5,"{""grid_query"": 1}","The observed evidence confirms a change in renewable element sgen_WIND6 without any switching, demand changes, or generator outages.","{""action"": ""final_answer"", ""event_class"": ""E5"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence confirms a change in renewable element sgen_WIND6 without any switching, demand changes, or generator outages.""}"
IEEE14_SCN_001918,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","The observation shows a single transmission line outage (line_6_13) with no changes in demand, generation, or renewable output, which matches the definition of an E3 Transmission-Line Outage.","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observation shows a single transmission line outage (line_6_13) with no changes in demand, generation, or renewable output, which matches the definition of an E3 Transmission-Line Outage.""}"
IEEE14_SCN_002621,E9,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E9,"{""grid_query"": 1}","The observed state features both a transmission line outage (line_1_2) and a significant demand surge across multiple load buses, classifying it as an E9 Compound event.","{""action"": ""final_answer"", ""event_class"": ""E9"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed state features both a transmission line outage (line_1_2) and a significant demand surge across multiple load buses, classifying it as an E9 Compound event.""}"
IEEE14_SCN_001060,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","The telemetry clearly indicates that line_6_13 is OPEN without any demand or generator changes, classifying this as a transmission-line outage.","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The telemetry clearly indicates that line_6_13 is OPEN without any demand or generator changes, classifying this as a transmission-line outage.""}"
IEEE14_SCN_002166,E7,closed_loop,gemini-3.5-flash-lite,False,2,1,1,1,E4,"{""grid_query"": 1}","Generators gen_G2, gen_G3, gen_G6, and gen_G8 are observed OFFLINE with no demand changes or switching actions, directly indicating generator outages.","{""action"": ""final_answer"", ""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Generators gen_G2, gen_G3, gen_G6, and gen_G8 are observed OFFLINE with no demand changes or switching actions, directly indicating generator outages.""}"
IEEE14_SCN_001981,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","Transmission line line_6_13 is open with no change in demand or generation, which fits an E3 Transmission-Line Outage.","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Transmission line line_6_13 is open with no change in demand or generation, which fits an E3 Transmission-Line Outage.""}"
IEEE14_SCN_001828,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","The observed evidence confirms a transmission line outage (line_6_13 is OPEN) with no changes in demand, generation, or renewable output, which directly corresponds to an E3 Transmission-Line Outage.","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence confirms a transmission line outage (line_6_13 is OPEN) with no changes in demand, generation, or renewable output, which directly corresponds to an E3 Transmission-Line Outage.""}"
IEEE14_SCN_001428,E4,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E4,"{""grid_query"": 1}","The observed evidence explicitly states that generator gen_G2 is OFFLINE with no demand changes or branch switching, corresponding directly to a Generator Outage (E4).","{""action"": ""final_answer"", ""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence explicitly states that generator gen_G2 is OFFLINE with no demand changes or branch switching, corresponding directly to a Generator Outage (E4).""}"
