scenario_id,event_class,config,model,correct_diag,turns,n_tool_calls,n_calls_valid,n_calls_exec,pred,tools_used,final_reason,raw
IEEE14_SCN_001199,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""run_power_flow"": 1}","Telemetry shows line_10_11 is open with no change in demand, corresponding precisely to a transmission-line outage (E3).","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""run_power_flow"", ""reason"": ""Telemetry shows line_10_11 is open with no change in demand, corresponding precisely to a transmission-line outage (E3).""}"
IEEE14_SCN_001828,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}",The observed evidence confirms a transmission line outage (line_6_13) with no changes in demand or generation.,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence confirms a transmission line outage (line_6_13) with no changes in demand or generation.""}"
IEEE14_SCN_001001,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""grid_query"": 1}","The observed evidence confirms that a transmission line is OPEN with no generator outages or demand changes, characteristic of a transmission-line outage (E3).","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""The observed evidence confirms that a transmission line is OPEN with no generator outages or demand changes, characteristic of a transmission-line outage (E3).""}"
IEEE14_SCN_000370,E1,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E1,"{""grid_query"": 1}",Observed telemetry shows a positive demand increase at load_bus_14 with no switching events or generator/renewable changes.,"{""action"": ""final_answer"", ""event_class"": ""E1"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows a positive demand increase at load_bus_14 with no switching events or generator/renewable changes.""}"
IEEE14_SCN_000199,E0,closed_loop,gemini-3.5-flash-lite,False,2,1,1,1,E7,"{""run_power_flow"": 1}","Power flow telemetry confirms an overvoltage condition with V_max at 1.06 pu (V > 1.05 pu), classifying the event as E7 Overvoltage.","{""action"": ""final_answer"", ""event_class"": ""E7"", ""confidence"": 0.95, ""tool"": ""run_power_flow"", ""reason"": ""Power flow telemetry confirms an overvoltage condition with V_max at 1.06 pu (V > 1.05 pu), classifying the event as E7 Overvoltage.""}"
IEEE14_SCN_000352,E1,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E1,"{""grid_query"": 1}",Observed telemetry shows a positive demand increase at load_bus_5 with no branch or generator switching events.,"{""action"": ""final_answer"", ""event_class"": ""E1"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Observed telemetry shows a positive demand increase at load_bus_5 with no branch or generator switching events.""}"
IEEE14_SCN_001338,E4,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E4,"{""run_power_flow"": 1}","Generator G2 is offline with no switching of branches or demand changes, directly corresponding to a generator outage.","{""action"": ""final_answer"", ""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""run_power_flow"", ""reason"": ""Generator G2 is offline with no switching of branches or demand changes, directly corresponding to a generator outage.""}"
IEEE14_SCN_001347,E4,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E4,"{""grid_query"": 1}","Telemetry directly indicates generator gen_G8 is OFFLINE while all other parameters such as demand and switching remain unchanged, characteristic of a generator outage.","{""action"": ""final_answer"", ""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Telemetry directly indicates generator gen_G8 is OFFLINE while all other parameters such as demand and switching remain unchanged, characteristic of a generator outage.""}"
IEEE14_SCN_002027,E3,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E3,"{""run_power_flow"": 1}","Telemetry confirms transmission line line_6_13 is open with no demand changes or generator outages, which directly corresponds to a Transmission-Line Outage (E3).","{""action"": ""final_answer"", ""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""run_power_flow"", ""reason"": ""Telemetry confirms transmission line line_6_13 is open with no demand changes or generator outages, which directly corresponds to a Transmission-Line Outage (E3).""}"
IEEE14_SCN_000870,E2,closed_loop,gemini-3.5-flash-lite,True,2,1,1,1,E2,"{""grid_query"": 1}","Delta load shows a decrease of 2.13 MW at load_bus_6 with no switching events, which classifies the event as a Load Drop (E2).","{""action"": ""final_answer"", ""event_class"": ""E2"", ""confidence"": 1.0, ""tool"": ""grid_query"", ""reason"": ""Delta load shows a decrease of 2.13 MW at load_bus_6 with no switching events, which classifies the event as a Load Drop (E2).""}"
