scenario_id,event_class,config,model,correct_diag,construction_correct,has_switching,identified_element,true_targets,turns,n_tool_calls,tools_used,executed,raw
IEEE14_SCN_000755,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow results and grid queries confirm that the maximum voltage reaches 1.06 pu (> 1.05 pu), satisfying the criteria for an E7 Overvoltage event with no element outages.""}"
IEEE14_SCN_001001,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_1_2,line_1_2,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is out of service while all generators remain online and no demand change or renewable ramp is present.""}"
IEEE14_SCN_002945,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_3_4,line_3_4,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_3_4"", ""confidence"": 1.0, ""reason"": ""Telemetry explicitly shows branch line_3_4 is OUT_OF_SERVICE with demand unchanged.""}"
IEEE14_SCN_001338,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g2,gen_g2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G2"", ""confidence"": 1.0, ""reason"": ""Generator gen_G2 is OFFLINE in the grid telemetry, while all transmission lines remain in service.""}"
IEEE14_SCN_001027,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_2_5,line_2_5,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_2_5"", ""confidence"": 1.0, ""reason"": ""Branch line_2_5 is OUT_OF_SERVICE in the telemetry, which correctly classifies the event as a transmission-line outage.""}"
IEEE14_SCN_002781,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,gen_g2,gen_g2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G2"", ""confidence"": 1.0, ""reason"": ""Generator gen_G2 is OFFLINE in the telemetry while demand remains unchanged, indicating a generator outage.""}"
IEEE14_SCN_001803,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Branch line_6_13 is explicitly recorded as OUT_OF_SERVICE in the telemetry.""}"
IEEE14_SCN_000636,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 has an overvoltage of 1.06 pu (exceeding 1.05 pu), indicating an overvoltage event (E7).""}"
IEEE14_SCN_001535,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 1.0, ""reason"": ""Bus 1 voltage exceeds 1.05 pu (v_max_pu is 1.06), indicating an overvoltage condition.""}"
IEEE14_SCN_001668,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 voltage exceeds 1.05 pu (v_max_pu = 1.06), indicating an overvoltage condition (E7).""}"
IEEE14_SCN_000512,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 voltage exceeds 1.05 pu (v_max_pu = 1.06), indicating an overvoltage condition (E7).""}"
IEEE14_SCN_002976,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_10_11,line_10_11,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_10_11"", ""confidence"": 1.0, ""reason"": ""Telemetry confirms transmission line line_10_11 is OUT_OF_SERVICE with demand unchanged, identifying a single transmission-line outage (E3).""}"
IEEE14_SCN_001766,E5,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Grid query for voltages shows bus 1 at 1.06 pu, which strictly exceeds the 1.05 pu overvoltage threshold.""}"
IEEE14_SCN_001918,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Telemetry shows line_6_13 is explicitly OUT_OF_SERVICE with no demand changes or generator outages.""}"
IEEE14_SCN_002621,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Telemetry shows branch line_1_2 is OUT_OF_SERVICE, matching the transmission-line outage taxonomy criterion (E3).""}"
IEEE14_SCN_001060,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Branch line_6_13 is explicitly OUT_OF_SERVICE in the telemetry while all generators remain in service and no demand change occurred.""}"
IEEE14_SCN_002166,E7,closed_loop,gemini-3.5-flash-lite,True,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""The post-event state exhibits an overvoltage violation with bus_1 at 1.08 pu, satisfying the E7 Overvoltage classification criteria.""}"
IEEE14_SCN_001981,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Telemetry explicitly shows branch line_6_13 is OUT_OF_SERVICE with no demand or generator changes, classifying this as a transmission-line outage.""}"
IEEE14_SCN_001828,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""The power flow confirms an overvoltage condition with a maximum voltage of 1.06 pu, exceeding the 1.05 pu upper limit.""}"
IEEE14_SCN_001428,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g2,gen_g2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G2"", ""confidence"": 1.0, ""reason"": ""Generator gen_G2 is offline in the element telemetry, which directly defines an E4 Generator Outage event.""}"
IEEE14_SCN_001199,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_10_11,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid queries confirm a post-event maximum voltage of 1.06 pu (V>1.05) with no branch or generator outages.""}"
IEEE14_SCN_000370,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""The post-event state shows an overvoltage condition with maximum voltage exceeding 1.05 pu (specifically bus 1 at 1.06 pu), qualifying it as E7 Overvoltage.""}"
IEEE14_SCN_000199,E0,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid queries confirm maximum voltage is 1.06 pu, exceeding 1.05 pu, designating an E7 Overvoltage event.""}"
IEEE14_SCN_000352,E1,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus 1 voltage exceeds 1.05 pu, classifying the event as an overvoltage (E7).""}"
IEEE14_SCN_001347,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g8,gen_g8,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G8"", ""confidence"": 1.0, ""reason"": ""Generator gen_G8 is explicitly OFFLINE in the element telemetry, confirming a generator outage event.""}"
IEEE14_SCN_002027,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_6_13,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Power flow and grid queries indicate a maximum voltage of 1.06 pu (exceeding the 1.05 pu threshold), identifying the event as E7 Overvoltage.""}"
IEEE14_SCN_000870,E2,closed_loop,gemini-3.5-flash-lite,False,True,False,none,,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Voltage telemetry shows bus 1 reaching 1.06 pu, triggering the overvoltage condition (V > 1.05) with no branch or generator outages.""}"
IEEE14_SCN_001116,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_2_5,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""The voltage profile reaches 1.06 pu, which exceeds the 1.05 threshold, classifying this event as E7 Overvoltage.""}"
IEEE14_SCN_002926,E9,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_3_4,4,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.95, ""reason"": ""Bus voltages confirm an overvoltage condition with bus_1 reaching 1.06 pu (> 1.05 pu), classifying the event as E7 Overvoltage.""}"
IEEE14_SCN_001408,E4,closed_loop,gemini-3.5-flash-lite,True,True,True,gen_g6,gen_g6,3,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E4"", ""identified_element"": ""gen_G6"", ""confidence"": 0.99, ""reason"": ""Generator gen_G6 is OFFLINE in the element telemetry, indicating a generator outage.""}"
IEEE14_SCN_001945,E3,closed_loop,gemini-3.5-flash-lite,True,True,True,line_6_13,line_6_13,4,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_6_13"", ""confidence"": 1.0, ""reason"": ""Branch line_6_13 is OUT_OF_SERVICE with no demand changes or generator outages, confirming a transmission-line outage.""}"
IEEE14_SCN_002692,E9,closed_loop,gemini-3.5-flash-lite,False,True,True,line_1_2,line_1_2,4,2,"{""grid_query"": 1, ""run_power_flow"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E3"", ""identified_element"": ""line_1_2"", ""confidence"": 1.0, ""reason"": ""Branch line_1_2 is explicitly listed as OUT_OF_SERVICE in the element telemetry, corresponding to a Transmission-Line Outage event.""}"
IEEE14_SCN_002986,E9,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_2_5,4,2,"{""grid_query"": 2}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.98, ""reason"": ""Bus voltages show that bus_1 exceeds 1.05 pu (specifically 1.06 pu), indicating a clear overvoltage condition (E7) with no branch or generator outages.""}"
IEEE14_SCN_000993,E3,closed_loop,gemini-3.5-flash-lite,False,False,True,none,line_9_14,4,2,"{""run_power_flow"": 1, ""grid_query"": 1}",2,"{""action"": ""final_answer"", ""event_class"": ""E7"", ""identified_element"": ""none"", ""confidence"": 0.98, ""reason"": ""Bus voltages query confirms bus 1 has a voltage of 1.06 pu, which strictly exceeds the 1.05 pu threshold for an overvoltage event (E7).""}"
