scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct,raw
IEEE14_SCN_002703,E9,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.9973750114440918,1.0,True,"```json
{""event_class"":""E9"",""confidence"":1.0,""tool"":""power_flow"",""reason"":""Observed both a transmission line opening (line_13_14) and multiple demand elements changing with a positive delta load (+46.81 MW), matching the compound event criteria.""}
```"
IEEE14_SCN_001981,E3,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.939500093460083,1.0,True,"```json
{""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""power_flow"", ""reason"": ""Telemetry confirms a transmission line (line_6_13) is open while demand and generation counts remain unchanged, directly matching a transmission-line outage.""}
```"
IEEE14_SCN_000948,E3,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1829099655151367,1.0,True,"```json
{""event_class"":""E3"",""confidence"":1.0,""tool"":""power_flow"",""reason"":""A transmission line was opened without any changes to demand or generation, which fits the E3 Transmission-Line Outage classification.""}
```"
IEEE14_SCN_001349,E4,E1_LLM,gemini-3.5-flash-lite,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.0851786136627195,1.0,True,"```json
{""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""state_estimation"", ""reason"": ""Generator gen_G6 went offline while demand and renewable outputs remained unchanged.""}
```"
IEEE14_SCN_002035,E3,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1254277229309082,1.0,True,"```json
{""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""power_flow"", ""reason"": ""A transmission line is open (line_6_13) with no changes in demand, generators, or renewables, perfectly matching a Transmission-Line Outage.""}
```"
IEEE14_SCN_002982,E9,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.948000431060791,0.95,True,"{""event_class"": ""E9"", ""confidence"": 0.95, ""tool"": ""power_flow"", ""reason"": ""Both a transmission line outage (line_12_13) and a demand surge (+37.06 MW) occurred simultaneously, matching the compound event classification criteria.""}"
IEEE14_SCN_002055,E3,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1864242553710938,1.0,True,"```json
{""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""power_flow"", ""reason"": ""Telemetry confirms a transmission line is OPEN (line_6_13) with no changes in demand or generation status, indicating a transmission-line outage.""}
```"
IEEE14_SCN_001408,E4,E1_LLM,gemini-3.5-flash-lite,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.9726293087005616,1.0,True,"```json
{""event_class"": ""E4"", ""confidence"": 1.0, ""tool"": ""state_estimation"", ""reason"": ""Generator G6 is observed OFFLINE with no changes in demand or network topology.""}
```"
IEEE14_SCN_001614,E5,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1224677562713623,0.95,True,"```json
{""event_class"": ""E5"", ""confidence"": 0.95, ""tool"": ""power_flow"", ""reason"": ""Renewable generation output changed (sgen_PV14) without any switching events or changes in demand.""}
```"
IEEE14_SCN_001945,E3,E1_LLM,gemini-3.5-flash-lite,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1293268203735352,1.0,True,"```json
{""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""contingency"", ""reason"": ""A transmission line is open (line_6_13) with no changes in demand or renewable generation.""}
```"
