scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct,raw,cause,outcome,equipment,severity,rec_tools,pred_cause,pred_tool,cause_ok,outcome_consistent,tool_consistent,parse_mode
IEEE14_SCN_002703,E9,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.0337884426116943,1.0,True,"```json
{
  ""event_class"": ""E9"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"": ""The scenario description and injected mechanism explicitly specify a compound event consisting of a transmission line outage combined with a 20% demand increase across multiple load buses.""
}
```",E9,undervoltage,branch+demand,high,power_flow;state_estimation;contingency;n1_security;grid_query_topology;grid_query_limits,E9,power_flow,True,True,True,
IEEE14_SCN_001981,E3,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1600193977355957,1.0,True,"```json
{""event_class"":""E3"",""confidence"":1.0,""tool"":""contingency"",""reason"":""The injected mechanism explicitly specifies a single transmission line outage of line_6_13.""}
```",E3,undervoltage,branch,high,power_flow;state_estimation;contingency;n1_security;grid_query_topology;grid_query_limits,E3,contingency,True,True,True,
IEEE14_SCN_000948,E3,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.0137734413146973,1.0,True,"```json
{""event_class"":""E3"",""confidence"":1.0,""tool"":""contingency"",""reason"":""The scenario describes a single transmission line outage of line_2_4, which corresponds to class E3.""}
```",E3,none,branch,high,power_flow;contingency;n1_security;grid_query_topology,E3,contingency,True,True,True,
IEEE14_SCN_001349,E4,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.0691845417022705,1.0,True,"```json
{
  ""event_class"": ""E4"",
  ""confidence"": 1.0,
  ""tool"": ""contingency"",
  ""reason"": ""The injected mechanism explicitly specifies an outage of generator G6, which corresponds to class E4.""
}
```",E4,none,generator,high,power_flow;contingency;n1_security;grid_query_topology,E4,contingency,True,True,True,
IEEE14_SCN_002035,E3,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1312506198883057,1.0,True,"```json
{""event_class"": ""E3"", ""confidence"": 1.0, ""tool"": ""contingency"", ""reason"": ""The injected event is a single transmission line outage of line_6_13, which corresponds to class E3.""}
```",E3,undervoltage,branch,high,power_flow;state_estimation;contingency;n1_security;grid_query_topology;grid_query_limits,E3,contingency,True,True,True,
IEEE14_SCN_002982,E9,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.9768192768096924,1.0,True,"```json
{
  ""event_class"": ""E9"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"": ""The injected description specifies a compound event involving both a transmission line outage and a demand increase across multiple buses.""
}
```",E9,none,branch+demand,high,power_flow;contingency;n1_security;grid_query_topology,E9,power_flow,True,True,True,
IEEE14_SCN_002055,E3,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.17919921875,1.0,True,"```json
{
  ""event_class"": ""E3"",
  ""confidence"": 1.0,
  ""tool"": ""contingency"",
  ""reason"": ""The injected mechanism explicitly specifies a single transmission line outage (line_6_13), which directly aligns with class E3.""
}
```",E3,undervoltage,branch,high,power_flow;state_estimation;contingency;n1_security;grid_query_topology;grid_query_limits,E3,contingency,True,True,True,
IEEE14_SCN_001408,E4,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.0915746688842771,1.0,True,"```json
{""event_class"":""E4"",""confidence"":1.0,""tool"":""contingency"",""reason"":""The injected mechanism explicitly specifies a single generator outage of gen_G6, corresponding to class E4.""}
```",E4,none,generator,high,power_flow;contingency;n1_security;grid_query_topology,E4,contingency,True,True,True,
IEEE14_SCN_001614,E5,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.2598578929901123,1.0,True,"```json
{""event_class"": ""E5"", ""confidence"": 1.0, ""tool"": ""power_flow"", ""reason"": ""The scenario injects a small up-ramp of availability at solar generator sgen_PV14, which corresponds directly to a renewable ramp event.""}
```",E5,none,renewable,high,n1_security;grid_query_topology,E5,power_flow,True,True,False,
IEEE14_SCN_001945,E3,E1_LLM,API,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.2337214946746826,1.0,True,"```json
{
  ""event_class"": ""E3"",
  ""confidence"": 1.0,
  ""tool"": ""contingency"",
  ""reason"": ""The injected mechanism is a single transmission line outage (line_6_13), which classifies as E3.""
}
```",E3,undervoltage,branch,high,power_flow;state_estimation;contingency;n1_security;grid_query_topology;grid_query_limits,E3,contingency,True,True,True,
