scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct,parse_mode,raw
IEEE14_SCN_000755,E2,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,37.92129588127136,0.5,True,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to classify an injected event class (E0, E1, E2, E3, E4, E5, E7, E9) based on provided pre/post-event data and rules. The output must be a specific JSON format.
2.  **Analyze the Input Data (Scenario IEEE14_SCN_000755):**
    *   *Pre-state:* load 0.81, solar 0.26, wind 0.81, SOC 0.26.
    *   *Post-state:* V 0.9838-1.0600 pu (Peak 0.91% violation).
    *   *Switching:* No branches opened, no generators offline.
    *   *Changed demand elements:* load_bus_2, load_bus_3, load_bus_4, load_bus_5. (Demand changed).
    *   *Changed renewa"
IEEE14_SCN_001001,E3,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,38.70904588699341,0.5,False,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to diagnose the INJECTED EVENT CLASS (E0, E1, E2, E3, E4, E5, E7, E9) based on the provided pre/post state and observed evidence.
2.  **Analyze the Scenario (IEEE14_SCN_001001):**
    *   Pre: load 1.10, solar 0.35, wind 0.76, SOC 0.80
    *   Post: V 0.9580-1.0600 pu, peak 2.75% viol, 0 under/overload, False over/under.
3.  **Analyze the Observed Evidence (Telemetry):**
    *   Switching: branches OPEN: line_1_2 | no generators offline. (Switching occurred)
    *   Changed demand elements: none. (Demand unchanged)
    *   Changed ren"
IEEE14_SCN_002945,E9,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,43.14816951751709,0.5,False,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to diagnose the INJECTED EVENT CLASS (E0, E1, E2, E3, E4, E5, E7, E9) based on the provided scenario evidence. The output must be a specific JSON format.
2.  **Analyze the Input Data (Scenario IEEE14_SCN_002945):**
    *   *Pre-state:* load 1.02, solar 0.90, wind 0.39, SOC 0.40.
    *   *Post-state:* V 0.9634-1.0600 pu (Peak 1.85% violation).
    *   *Switching:* `branches OPEN: line_3_4` (A branch is open).
    *   *Changed demand elements:* load_bus_2, load_bus_3, load_bus_4, load_bus_5, load_bus_6, load_bus_9, load_bus_10, load_bus"
IEEE14_SCN_001338,E4,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,47.16634225845337,1.0,True,json,"```json
{
  ""event_class"": ""E4"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"": ""Generator G2 went offline, which is the defined cause for E4, and the resulting state shows an overvoltage violation (E7).""
}
```"
IEEE14_SCN_001027,E3,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,56.17198634147644,0.5,False,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to diagnose the INJECTED EVENT CLASS (E0, E1, E2, E3, E4, E5, E7, E9) based on the provided pre/post scenario data and rules. The output must be a specific JSON format.

2.  **Analyze the Scenario Data (IEEE14_SCN_001027):**
    *   Pre: load 0.85, solar 0.93, wind 0.07, SOC 0.26
    *   Post: V 0.9821-1.0600 pu, peak 1.13% viol 0, over/under/overload False.
    *   *Observed Evidence:*
        *   Switching: branches OPEN: line_2_5 | no generators offline. (Wait, the prompt says ""no generators offline"" but lists ""branches OPEN: line_"
IEEE14_SCN_002781,E9,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,63.842538833618164,0.5,False,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to diagnose the INJECTED EVENT CLASS (E0, E1, E2, E3, E4, E5, E7, E9) based on the provided pre/post scenario data and rules. The output must be a specific JSON format.

2.  **Analyze the Scenario Data (IEEE14_SCN_002781):**
    *   **Pre:** load 1.04, solar 0.61, wind 0.33, SOC 0.60
    *   **Post:** V 0.9645-1.0600 pu peak 1.96% viol 0 under False over False overload False
    *   **Switching:** no branches opened (No E3)
    *   **Generators OFFLINE:** gen_G2 (Potential E4)
    *   **Changed demand elements:** none (No E1, E2, E9)
"
IEEE14_SCN_001803,E3,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,65.78159999847412,0.5,True,last-E-digit,"```json
{
  ""event_class"": ""E3|E7"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"": ""A transmission line outage (E3) occurred, and the resulting post"
IEEE14_SCN_000636,E2,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,67.79136204719543,0.5,True,last-E-digit,"```json
{
  ""event_class"": ""E2|E7"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"": ""The event is classified as E2 (Load Drop) because demand"
IEEE14_SCN_001535,E5,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,65.71846032142639,0.5,False,last-E-digit,"```json
{
  ""event_class"": ""E5|E7"",
  ""confidence"": 1.0,
  """
IEEE14_SCN_001668,E5,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,57.58620882034302,0.5,True,last-E-digit,"Thinking Process:

1.  **Analyze the Request:** The goal is to diagnose the INJECTED EVENT CLASS (E0, E1, E2, E3, E4, E5, E7, E9) based on the provided pre/post scenario data and rules. The output must be a specific JSON format.

2.  **Analyze the Scenario Data (IEEE14_SCN_001668):**
    *   **Pre-state:** load 0.86, solar 0.69, wind 0.57, SOC 0.74.
    *   **Post-state:** V 0.9822-1.0600 pu (Peak 1.20% violation).
    *   **Switching:** No branches opened, no generators offline. (Rules E3, E4, E9 are likely out).
    *   **Changed demand elements:** None. (Rules E1, E2 are likely out).
    * "
IEEE14_SCN_000512,E1,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,59.5849494934082,0.5,False,last-E-digit,"```json
{
  ""event_class"": ""E1|E7"",
  ""confidence"": 1.0,
  ""tool"": ""power_flow"",
  ""reason"":"
IEEE14_SCN_002976,E9,E1_LLM,gemma-4-E4B-it-Q4_0.gguf,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,60.51081204414368,0.5,True,last-E-digit,"```json
{
  ""event_class"": ""E7|E9"",
  ""confidence"
